Barbell Bench Press	杠铃 卧推 推举
Leg Press	腿 推举
One Legged Squat	one legged 深蹲
Overhead Dumbbell Squat	过头 哑铃 深蹲
Overhead Squat	过头 深蹲
Partial Single Leg Squat	partial single 腿 深蹲
Pistol Squat	pistol 深蹲
Plie Slides	plie slides
Plie Squat	plie 深蹲
Single Leg Bench Get Up	single 腿 卧推 get 上
Single Leg Bench Squat	single 腿 卧推 深蹲
Single Leg Squat On Swiss Ball	single 腿 深蹲 on swiss 球
Squats With Band	squats with 弹力带
Staggered Squat	staggered 深蹲
Step Up	步 上
Suitcase Squats	suitcase squats
Sumo Squat	sumo 深蹲
Sumo Squat Slide In	sumo 深蹲 slide 内
Sumo Squat To High Pull	sumo 深蹲 to high 拉
Sumo Squat To Stand	sumo 深蹲 to stand
Sumo Squat With Rotation	sumo 深蹲 with rotation
Swiss Ball Body Weight Wall Squat	swiss 球 body weight wall 深蹲
Thrusters	thrusters
Uneven Squat	uneven 深蹲
Waist Slimming Squat	waist slimming 深蹲
Wall Ball	wall 球
Weighted Back Squats	负重 背部 squats
Weighted Balancing Squat	负重 balancing 深蹲
Weighted Bench Squat With Rotational Chop	负重 卧推 深蹲 with rotational chop
Weighted Box Step Squat	负重 箱 步 深蹲
Weighted Elevated Single Leg Squat	负重 elevated single 腿 深蹲
Weighted Figure Four Squats	负重 figure four squats
Weighted Partial Single Leg Squat	负重 partial single 腿 深蹲
Weighted Pistol Squat	负重 pistol 深蹲
Weighted Plie Slides	负重 plie slides
Weighted Plie Squat	负重 plie 深蹲
Weighted Prisoner Squat	负重 prisoner 深蹲
Weighted Single Leg Bench Get Up	负重 single 腿 卧推 get 上
Weighted Single Leg Bench Squat	负重 single 腿 卧推 深蹲
Weighted Single Leg Squat On Swiss Ball	负重 single 腿 深蹲 on swiss 球
Weighted Squat	负重 深蹲
Weighted Staggered Squat	负重 staggered 深蹲
Weighted Step Up	负重 步 上
Weighted Sumo Squat Slide In	负重 sumo 深蹲 slide 内
Weighted Sumo Squat To Stand	负重 sumo 深蹲 to stand
Weighted Sumo Squat With Rotation	负重 sumo 深蹲 with rotation
Weighted Swiss Ball Wall Squat	负重 swiss 球 wall 深蹲
Weighted Uneven Squat	负重 uneven 深蹲
Weighted Wall Squat	负重 wall 深蹲
Wide Stance Barbell Squat	宽 站姿 杠铃 深蹲
Zercher Squat	zercher 深蹲
Burpee Box Jump	burpee 箱 跳
High Pull Burpee	high 拉 burpee
Man Makers	man makers
One Arm Burpee	one 手臂 burpee
Squat Plank Push Up	深蹲 平板支撑 推 上
Standing T Rotation Balance	standing t rotation balance
Weighted Burpee	负重 burpee
Weighted Burpee Box Jump	负重 burpee 箱 跳
Weighted Squat Plank Push Up	负重 深蹲 平板支撑 推 上
Weighted Squat Thrusts	负重 深蹲 thrusts
Weighted Standing T Rotation Balance	负重 standing t rotation balance
Bench Dip	卧推 臂屈伸
Body Weight Dip	body weight 臂屈伸
Cable Kickback	绳索 kickback
Cable Overhead Triceps Extension	绳索 过头 triceps 伸展
Incline Ez Bar Lying Triceps Extension	incline ez 杆 lying triceps 伸展
Lying Dumbbell Pullover To Extension	lying 哑铃 pullover to 伸展
Lying Ez Bar Triceps Extension	lying ez 杆 triceps 伸展
Lying Triceps Extension To Close Grip Bench Press	lying triceps 伸展 to 窄 握 卧推 推举
Overhead Dumbbell Triceps Extension	过头 哑铃 triceps 伸展
Reclining Triceps Press	reclining triceps 推举
Reverse Grip Triceps Pressdown	reverse 握 triceps pressdown
Seated Barbell Overhead Triceps Extension	seated 杠铃 过头 triceps 伸展
Seated Dumbbell Overhead Triceps Extension	seated 哑铃 过头 triceps 伸展
Seated Ez Bar Overhead Triceps Extension	seated ez 杆 过头 triceps 伸展
Single Arm Dumbbell Overhead Triceps Extension	single 手臂 哑铃 过头 triceps 伸展
Single Dumbbell Seated Overhead Triceps Extension	single 哑铃 seated 过头 triceps 伸展
Single Leg Bench Dip And Kick	single 腿 卧推 臂屈伸 and kick
Static Lying Triceps Extension	static lying triceps 伸展
Suspended Dip	suspended 臂屈伸
Swiss Ball Dumbbell Lying Triceps Extension	swiss 球 哑铃 lying triceps 伸展
Swiss Ball Ez Bar Lying Triceps Extension	swiss 球 ez 杆 lying triceps 伸展
Swiss Ball Ez Bar Overhead Triceps Extension	swiss 球 ez 杆 过头 triceps 伸展
Tabletop Dip	tabletop 臂屈伸
Weighted Bench Dip	负重 卧推 臂屈伸
Weighted Dip	负重 臂屈伸
Weighted Incline Dip	负重 incline 臂屈伸
Weighted Single Leg Bench Dip And Kick	负重 single 腿 卧推 臂屈伸 and kick
Weighted Single Leg Dip	负重 single 腿 臂屈伸
Weighted Suspended Dip	负重 suspended 臂屈伸
Weighted Tabletop Dip	负重 tabletop 臂屈伸
Ankle Circles	ankle circles
Ankle Dorsiflexion With Band	ankle dorsiflexion with 弹力带
Ankle Internal Rotation	ankle internal rotation
Arm Circles	手臂 circles
Bent Over Reach To Sky	bent over reach to sky
Biceps Stretch	biceps stretch
Cat Camel	cat camel
Elbow To Foot Lunge	elbow to foot 弓步
Forward And Backward Leg Swings	forward and backward 腿 swings
Glutes Stretch	glutes stretch
Groiners	groiners
Inverted Hamstring Stretch	inverted hamstring stretch
Lateral Duck Under	lateral duck under
Neck Rotations	neck rotations
Neck Tilts	neck tilts
Quadruped Rocking	quadruped rocking
Reach Roll And Lift	reach roll and lift
Scorpion	scorpion
Shoulder Circles	肩膀 circles
Side To Side Leg Swings	侧 to 侧 腿 swings
Sleeper Stretch	sleeper stretch
Slide Out	slide 外
Standing Hamstring Stretch	standing hamstring stretch
Swiss Ball Hip Crossover	swiss 球 hip crossover
Swiss Ball Reach Roll And Lift	swiss 球 reach roll and lift
Swiss Ball Windshield Wipers	swiss 球 windshield wipers
Thoracic Rotation	thoracic rotation
Walking High Kicks	walking high kicks
Walking High Knees	walking high knees
Walking Knee Hugs	walking knee hugs
Walking Leg Cradles	walking 腿 cradles
Walkout	walkout
Walkout From Push Up Position	walkout from 推 上 姿势
